Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
145.110000,144.51000,-,100.0,,QQ0AAA,"Anytown - Sample Hill",Example,Colorado,FM ,
145.130000,144.53000,-,88.5,88.5,QQ0BBB,"Testville",Example,Colorado,FM ,
145.150000,144.55000,-,107.2,123.0,QQ0CCC,"Sampleton - Round Butte",Example,Colorado,FM ,
145.170000,144.57000,-,,110.9,QQ0DDD,"Nowhere",Example,Colorado,FM ,
145.190000,144.59000,-,CSQ,CSQ,QQ0EEE,"Anytown - Flat Mesa",Example,Colorado,FM ,
147.210000,147.81000,+,D073,D073,QQ0FFF,"Testville - Bare Ridge",Example,Colorado,FM ,
147.230000,147.83000,+,D023,D114,QQ0GGG,"Sampleton",Example,Colorado,FM ,
147.250000,147.85000,+,D205,,QQ0HHH,"Nowhere - Long Mesa",Example,Colorado,FM ,
147.270000,147.87000,+,D116,131.8,QQ0III,"Anytown",Example,Colorado,FM ,
147.290000,147.89000,+,146.2,D054,QQ0JJJ,"Testville - Dry Knob",Example,Colorado,FM ,
442.100000,447.10000,+,,,QQ0KKK,"Sampleton - Tall Tower",Example,Colorado,DMR ,7
442.120000,447.12000,+,,,QQ0LLL,"Nowhere",Example,Colorado,FM DMR ,
442.140000,447.14000,+,,,QQ0MMM,"Anytown - Sample Hill",Example,Colorado,P-25 ,293
442.160000,447.16000,+,,,QQ0NNN,"Testville",Example,Colorado,DSTAR ,
442.180000,447.18000,+,100.0,,QQ0OOO,"Sampleton - Round Butte",Example,Colorado,FM Fusion WIRES-X ,
442.200000,447.20000,+,107.2,,QQ0PPP,"Nowhere - Long Mesa",Example,Colorado,FM AllStar EchoLink IRLP ,
442.220000,447.22000,+,88.5,,QQ0QQQ,"Anytown",Example,Colorado,FM ATV ,
442.240000,447.24000,+,110.9,,QQ0RRR,"Faraway",Example,Atlantis,FM ,
927.700000,902.20000,s,D114,D114,QQ0SSS,"Testville - Bare Ridge",Example,Colorado,FM ,
53.030000,52.03000,-,88.5,,QQ0TTT,"Sampleton",Example,Wyoming,FM ,
